"","number","breedte","lengte","geslacht","lengte/breedte-ratio"
"1",1,9.5,18.5,"man",1.94736842105263
"2",2,9.6,17.2,"vrouw",1.79166666666667
"3",3,9.1,16.6,"vrouw",1.82417582417582
"4",4,9.2,17.7,"man",1.92391304347826
"5",5,9.5,16.6,"vrouw",1.74736842105263
"6",6,9.7,17.4,"man",1.79381443298969
"7",7,9,19,"man",2.11111111111111
"8",8,11.2,18.2,"man",1.625
"9",9,10.5,18.8,"man",1.79047619047619
"10",10,10.7,16.7,"man",1.5607476635514
"11",11,9.9,18.6,"man",1.87878787878788
"12",12,9.6,17.5,"vrouw",1.82291666666667
"13",13,9,17.2,"vrouw",1.91111111111111
"14",14,11,17.8,"man",1.61818181818182
"15",15,9.2,19,"man",2.06521739130435
"16",16,9.7,19.2,"man",1.97938144329897
"17",17,8.1,15.2,"vrouw",1.87654320987654
"18",18,9.9,18.3,"man",1.84848484848485
"19",19,9.4,16.6,"man",1.76595744680851
"20",20,8.8,15.5,"vrouw",1.76136363636364
"21",21,9.3,19.5,"man",2.09677419354839
"22",22,9.7,18.3,"man",1.88659793814433
"23",23,10.9,19.5,"man",1.78899082568807
"24",24,10.9,19.2,"man",1.76146788990826
"25",25,11.1,19.8,"man",1.78378378378378
"26",26,9.6,19.9,"man",2.07291666666667
"27",27,10.5,18.5,"man",1.76190476190476
"28",28,10.3,18.8,"man",1.8252427184466
"29",29,9.9,18.9,"man",1.90909090909091
"30",30,9.9,17.8,"man",1.7979797979798
"31",31,9.1,17.7,"vrouw",1.94505494505495
"32",32,8.9,16.8,"vrouw",1.8876404494382
"33",33,9.1,17,"vrouw",1.86813186813187
"34",34,9.3,19.2,"man",2.06451612903226
"35",35,9.9,19.6,"man",1.97979797979798
"36",36,9.1,18.5,"man",2.03296703296703
"37",37,10.5,19.7,"man",1.87619047619048
"38",38,10,18.8,"man",1.88
"39",39,9.5,17,"man",1.78947368421053
"40",40,9.8,18.6,"man",1.89795918367347
